약국,경도,위도
보화약국,126.7864702,37.4066904
선부정약국,126.8176008,37.3421384
황약국,126.9392562,37.3712078
유약국,127.058745,36.9632327
개포종로온누리약국,127.0600593,37.4833803
시민약국,127.1996778,37.5424306
종근당 약국,127.3082684,37.6519071
강남약국,127.6545329,37.3011359
태흥약국,127.6343915,37.2896449
신화당약국,127.5864528,37.3741204
휴베이스 사랑 약국,127.0310494,37.2607779
온누리은하수약국,126.79096,37.653656
옵티마2층약국,126.8172191,37.6257722
더존약국,127.115058,37.3883538
위민약국,126.7007672,37.513181
미소약국,126.6953334,37.4629017
동광약국,126.7268337,37.4981629
오층애천사약국,127.1292177,37.41053
새말약국,127.0648036,37.7477075
희망온누리약국,127.0391984,37.7582646
함약국,127.1344454,37.4468818
국일약국,127.2031705,37.8990553
한마음약국,126.9424225,37.3991542
성심약국,127.4418753,37.2806837
동아약국,127.0558758,37.7254864
영흥우리약국,126.4955906,37.2575594
수정약국,126.6983792,37.5044499
365약국,127.1889881,37.5667509
해든소망약국,126.675868,37.4146343
청구약국,126.7772185,37.6499915
소래종로약국,126.7350866,37.3985892
옵티마통진약국,126.5987532,37.6891559
지에스약국,127.2054909,37.5389381
헬스원약국,126.6436371,37.3928401
연수태평양약국,126.6765279,37.4134271
강화약국,126.4904043,37.7397958
종로약국,127.4890961,37.4905332
성원약국,127.1142797,37.3202944
빈센트대성약국,127.0274991,37.2769589
유림약국,126.9709144,37.2981354
동의당약국,126.821288,37.3445286
나라약국,126.7632319,37.6895959
한아름약국,126.734276,37.5318346
사상약국,128.9804343,35.1597552
새동진약국,129.0952841,35.1733266
우리약국,129.1240033,35.1568685
대연시장약국,129.0971531,35.13471
크리스마스약국,127.0842018,37.5120894
프라자약국,126.6244385,36.8943746
행복약국,129.0845992,35.2190565
해운약국,129.0703471,35.0781053
사랑약국,129.0825807,35.175371
개나리약국,128.9940249,35.10019
퍼스트온누리약국,128.9061688,35.0953046
청춘약국,129.1154014,35.1556664
보은약국,129.0437885,35.0916791
엔네이버약국,127.1096642,35.8407707
영도코끼리약국,129.0412541,35.0918398
곰돌이약국,127.0246475,37.5646232
세종스마일약국,127.2484095,36.5114037
슬로우약국,126.4754844,33.4806365
365수정메디약국,127.1345863,37.4414339
오창호수약국,127.4227701,36.7158528
진진약국,128.9474778,35.1720764
하이브약국,129.1613426,35.1646577
어반약국,129.0511582,35.1750215
양학약국,129.3500326,36.0269868
클래시안약국,126.9117915,37.504013
모닝약국,129.1099571,35.1260862
밝은중앙약국,127.115631,37.5267687
조아약국,128.3940861,36.0726733
태양당약국,126.9395505,37.4866774
국제약국,126.8473756,37.3025589
믿음약국,127.1032124,35.8034103
성원약국,126.7376709,37.3455123
새현대약국,128.7057261,35.130626
다정약국,126.8048918,37.4811851
메디팜365약국,127.1414794,37.6002213
메디팜동수원약국,127.0301276,37.2627598
생명약국,126.9137491,37.4165262
우리들약국,127.3444772,37.3492374
건강한약국,127.1196311,37.3854947
평화온누리약국,127.039913,37.7391264
그린약국,126.8803776,37.4622207
신영약국,127.0485947,37.246073
메드칼약국,126.7145821,37.464163
솔약국,126.9046454,37.3112527
건강한21세기약국,126.6281661,37.4715148
한울약국,126.7421563,37.4845848
미소약국,127.1585596,37.4451337
우리온누리약국,126.7846142,37.8665003
메디팜일산백약국,126.7493822,37.6745444
백두약국,126.7637324,37.6919338
희전약국,126.833153,37.6186843
인천세중온누리약국,126.7359803,37.5324638
유일약국,127.0410123,37.2064035
옵티마덕풍약국,127.2019465,37.5399292
신태안약국,127.0363522,37.2112053
프라자약국,127.3183607,37.9582586
두드림약국,126.9806024,37.2858708
하나팜약국,126.7181889,37.6201327
정직한약국,126.8320952,37.319067
열린약국,126.7018166,37.4462791
양수하나로약국,127.3192313,37.5442928
열린약국,126.4467085,36.8428096
노원연세약국,127.0681287,37.6534064
별빛약국,127.0843604,37.3072076
유명한약국,127.5506116,36.6503029
우리들온누리약국,127.9165916,36.9826514
목행약국,127.9172525,37.0145372
성모약국,127.9312573,36.972933
대한약국,127.4334045,36.6260667
해솔약국,127.4698042,36.6115546
뉴소망약국,127.6197109,36.2470859
새일신약국,127.4297681,36.6363125
호암장수약국,127.9238566,36.9566188
밝은약국,127.7217622,36.4831383
정문약국,127.4402121,36.8587161
명생약국,127.9336053,36.9728007
송화동약국,127.4719345,36.6534832
한마음약국,127.5667937,36.2990978
시장약국,128.2117286,37.1372742
새싹약국,127.9334149,36.953624
플러스약국,127.4858093,36.6360014
행복미소약국,127.4512608,36.6645907
장수약국,127.4313088,36.6238796
홈플러스준약국,127.4422384,36.6154344
성화열린약국,127.4483174,36.6175203
이우진약국,127.5117065,36.6099761
세종사랑약국,127.2576476,36.4860984
가경중앙약국,127.4440983,36.6168426
대학약국,127.4637958,36.6239264
오창제일약국,127.4516248,36.7339371
별약국,127.5817163,36.7840461
청원백화점약국,127.4410371,36.5624689
세정 온누리 약국,127.7806303,36.1738633
조은약국,127.358422,36.6233652
다온약국,126.9245374,37.5297624
보배약국,126.4928111,37.7413984
우리온누리약국,126.7378488,35.7263827
세계로약국,126.7186822,35.9637672
신혜약국,129.112892,35.132059
행운약국,128.5952361,35.8746644
수한약국,128.5352668,35.8064957
렉슬4층약국,127.0527051,37.4953009
다나은약국,126.9934118,37.3054414
미래조이약국,127.3777541,36.3485152
메디썬약국,129.1773299,35.1621911
한마음약국,126.9091299,37.5958353
신성약국,127.4315751,36.4499524
둔산한솔약국,127.3872537,36.3499644
조일약국,127.5093555,37.8349189
블루밍약국,127.3804737,36.3314905
건대바른약국,127.0714121,37.540661
삼부한솔약국,127.3937376,36.3241132
하늘약국,127.4563813,36.3063591
안덕유선약국,126.3322486,33.2465429
천수약국,127.3848137,36.3313969
쾌차온누리약국,126.7906928,37.3732385
중앙약국,127.3852543,36.3043735
효촌약국,127.4349366,36.34645
기성약국,127.3409312,36.2548395
구봉온누리약국,127.3314031,36.2979174
영성약국,126.4558569,36.7814411
박용두약국,126.4588962,36.7821388
충남약국,127.4975118,36.1014629
문화약국,127.4964472,36.1011721
심지약국,127.4906156,36.1023315
남원백제약국,127.3877683,35.4091482
대수약국,127.2984558,36.5983431
대림약국,126.7739097,36.8083924
은혜약국,127.2269313,36.400758
카이스트약국,127.3608437,36.3717787
소영약국,127.4185552,36.3426184
제생약국,127.3999288,36.3096653
시민약국,127.489033,36.1034216
시온약국,127.4453445,36.3465837
태경약국,127.3997506,36.3192957
미래약국,127.3324445,36.3584886
탄탄온누리약국,127.2422098,36.5122956
큰마을약국,127.3765099,36.3446656
메디팜시티약국,127.2406122,36.2890527
서산종로약국,126.4595442,36.7807282
행복한약국,127.2526813,36.272966
모산종로약국,127.0631343,36.775543
새봄약국,127.0152216,36.7848546
십자약국,127.2984646,36.6004203
코보약국,127.1318899,36.8046835
서울약국,127.1460252,36.4769627
행복약국,127.4232784,36.4336624
마음약국,127.438075,36.3499328
삼성약국,127.1232884,36.8310826
학산약국,127.1331366,36.8323889
중앙약국,126.6706492,36.6008897
동산약국,127.3387784,36.3700384
정담 한약국,127.2361831,36.5203004
공단약국,127.11953,36.8725668
중앙약국,126.6293789,36.8924909
수정약국,127.1283274,36.9150624
참고운약국,127.2343732,36.5050816
기쁜우리약국,127.4561807,36.3161854
세종맑은약국,127.2898813,36.5925694
삽다리약국,126.7382092,36.6860545
맘편한약국,127.1275923,36.8307057
엠약국,127.1252402,35.8423742
보람약국,127.1205905,35.8580759
건강한약국,126.7094557,35.9655745
효약국,127.0125539,36.1562675
드림약국,126.6455059,36.9015021
열린약국,127.4248944,36.3658703
아남메디컬약국,127.4323523,36.3479337
열린약국,126.6372773,37.4516386
부원약국,127.0524087,37.5377811
대학정문약국,127.1353951,36.801634
갈마드림약국,127.3687834,36.3438656
시장약국,126.6883427,36.0749683
햇살가득한약국,127.3924599,36.3563704
365열린약국,127.2502282,36.4868892
나눔약국,126.4114156,33.4841918
365검단우리약국,126.7110779,37.5933735
벨라약국,127.3411595,36.3073063
하나약국,127.1553316,35.8560568
LG참약국,129.1121446,35.1279925
구약국,126.9554357,37.4785513
오늘의약국,127.0283079,37.4981647
삼성약국,126.92801,37.4812739
명진약국,128.7840172,35.1246041
아이레몬약국,127.0897031,37.5058328
새한약국,126.9213605,37.3992732
아프지마 약국,127.9228164,36.9565266
바로약국,129.0199688,35.1463626
동삼약국,127.088668,37.5827414
온기한약국,127.1072244,35.7989551
상동약국,126.8665233,35.5619843
염주밝은약국,126.8742028,35.1421889
다현온누리약국,127.029393,37.5266107
스카이약국,127.1279658,35.9605686
성지약국,126.8316114,37.6338153
밝은약국,127.1584983,36.8168386
농민약국,128.1562139,36.4146492
일등약국,126.8661669,37.5484796
잘짓는약국,128.5467564,35.8541925
동해물약국,129.1096422,37.5506116
속초메디칼약국,128.5791227,38.1977733
신세명약국,129.1637342,37.4425874
수별온누리약국,127.9234542,37.3389518
장생약국,127.9282649,37.3469332
시민약국,128.5878192,38.2017972
국민약국,127.0743199,35.8739895
홍천시민온누리약국,127.8850218,37.688697
미방약국,128.4551055,37.4994323
늘사랑 약국,128.3276308,36.1301001
강남셀리뉴약국,127.0494875,37.524795
다사랑약국,126.7104375,37.4510367
찬슬약국,127.9283387,37.3473021
새푸른약국,126.9500261,37.4787802
인제약국,126.9327429,37.471136
우일약국,126.9204698,37.4698898
믿음약국,126.9570084,37.4787016
세란약국,126.9173443,37.4850645
신박사예일약국,128.876188,37.8377821
보름달약국,127.073913,37.140645
매일약국,129.3716949,36.0674718
장락약국,128.2237045,37.1528665
하늘약국,129.1071079,35.1388889
청솔약국,128.7076611,35.1471318
청년약국,128.9648206,35.1132937
옥정미소약국,127.0992793,37.8148751
베리타스약국,127.0756013,37.4926645
삼성건강약국,127.0180949,37.2753973
전곡종로약국,127.0681455,38.0247763
네모약국,129.0823764,35.2221412
청담엘약국,127.0574178,37.5212589
인과원약국,126.7422469,37.4855597
나루약국,128.5808257,35.8706677
생생약국,126.8324767,37.6381933
부평도담약국,126.7090895,37.4879376
대우약국,126.9531263,37.3208806
중앙메디칼약국,126.855878,36.9607424
정다운5층약국,126.9354443,37.3991502
온누리정성약국,126.7552865,37.4888771
푸르지오약국,126.7642489,37.4843269
천지약국,126.7914267,37.4952466
천수당온누리약국,126.7907983,37.4955786
종로세명약국,126.7376709,37.3455123
온누리시민약국,126.7762234,37.6557443
신연수약국,126.6926758,37.419047
참사랑약국,127.1419481,37.6505139
금곡엘지약국,126.9335057,37.2753902
태평햇살약국,127.3937376,36.3241132
비타민플러스약국,127.2111479,37.6345001
드림온누리약국,126.7705699,37.6564196
하늘약국,127.1013607,36.9921898
마석으뜸약국,127.311773,37.6518879
셀메드동아약국,126.8763825,37.1702597
화수약국,126.8305393,37.6435064
청솔약국,127.6802759,37.3264387
현대약국,127.3480829,37.8185154
탑약국,129.0045217,35.3296515
홍약국,127.0674414,37.1453601
동서약국,126.7254116,37.4965465
역전이화약국,127.0212781,37.2722817
중앙약국,127.0171373,37.2779007
시장약국,129.0193756,35.2639061
